ts,image_path,vehicle_type,vehicle_id,tire_model_code,tire_position,tire_type,tread_design,operator,session_notes,brightness,glare_ratio,sharpness,edge_density,continuity,score,verdict,tread_verdict,quality_verdict,device_depth_mm,raw_score_verdict,psi_measured,psi_recommended,psi_status,mm_per_px,notes
20260327_081952,/home/charess/tireguard/data/captures/tire_20260327_081952.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,162.79533655263097,0.23754789272030652,281.00378035468674,0.29739395588201956,5185.0,0.3406137891462044,GOOD,GOOD,WARNING,4.19525048219346,GOOD,25.0,32.0,CRITICAL LOW,,Too much glare (glare_ratio=0.238) | quality_verdict=WARNING | depth_mm=4.195; raw_score_verdict=GOOD
20260327_081945,/home/charess/tireguard/data/captures/tire_20260327_081945.jpg,Car,redemo,,SPARE,,Symmetrical,rwdemo,,165.30230225124123,0.18853862023623297,243.62288634114313,0.26830125371239427,4640.9,0.32155762284340683,GOOD,GOOD,WARNING,4.148330152770067,GOOD,25.0,32.0,CRITICAL LOW,,Too much glare (glare_ratio=0.189) | quality_verdict=WARNING | depth_mm=4.148; raw_score_verdict=GOOD
20260327_081936,/home/charess/tireguard/data/captures/tire_20260327_081936.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,151.99946156113265,0.08514702214967466,343.64792294849843,0.3624883810560203,6366.1,0.35939254754902794,GOOD,GOOD,WARNING,4.241487774439038,GOOD,25.0,32.0,CRITICAL LOW,,Too much glare (glare_ratio=0.085) | quality_verdict=WARNING | depth_mm=4.241; raw_score_verdict=GOOD
20260327_081555,/home/charess/tireguard/data/captures/tire_20260327_081555.jpg,Car,redemo,,SPARE,,Symmetrical,rwdemo,,136.99122807017545,0.19160733692638676,132.22584503897465,0.123971433007297,1087.9,0.2539495611356589,GOOD,GOOD,WARNING,3.9818647432748273,GOOD,25.0,32.0,CRITICAL LOW,,Too much glare (glare_ratio=0.192) | quality_verdict=WARNING | depth_mm=3.982; raw_score_verdict=GOOD
20260327_081447,/home/charess/tireguard/data/captures/tire_20260327_081447.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,155.62500277241776,0.11888127398141371,380.36712129605473,0.26551999467695786,2392.7,0.262574352799445,GOOD,GOOD,WARNING,4.003100812463285,GOOD,25.0,32.0,CRITICAL LOW,,Too much glare (glare_ratio=0.119) | quality_verdict=WARNING | depth_mm=4.003; raw_score_verdict=GOOD
20260327_081411,/home/charess/tireguard/data/captures/tire_20260327_081411.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,137.5950052121454,0.12006786878701178,311.7088953298462,0.31999245902366535,2885.5,0.30055852254001364,GOOD,GOOD,WARNING,4.096625907111514,GOOD,25.0,32.0,CRITICAL LOW,,Too much glare (glare_ratio=0.120) | quality_verdict=WARNING | depth_mm=4.097; raw_score_verdict=GOOD
20260327_081354,/home/charess/tireguard/data/captures/tire_20260327_081354.jpg,Car,redemo,,SPARE,,Directional,rwdemo,,184.72245020518466,0.04574116705034531,199.15045568836993,0.33249924932439195,830.5,0.19143980380556486,GOOD,GOOD,OK,3.827952442159268,GOOD,25.0,32.0,CRITICAL LOW,,quality_verdict=OK | depth_mm=3.828; raw_score_verdict=GOOD
20260327_081332,/home/charess/tireguard/data/captures/tire_20260327_081332.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,183.60554499049144,0.05154639175257732,314.9796174579341,0.3679311380242218,735.2,0.1922590719905924,GOOD,GOOD,OK,3.8299696544629804,GOOD,25.0,32.0,CRITICAL LOW,,quality_verdict=OK | depth_mm=3.830; raw_score_verdict=GOOD
20260327_081245,/home/charess/tireguard/data/captures/tire_20260327_081245.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,149.36042438194374,0.000900810729656691,225.79460760004795,0.3562205985386848,889.75,0.1631000091467371,GOOD,GOOD,OK,3.7581738476584268,GOOD,25.0,32.0,CRITICAL LOW,,quality_verdict=OK | depth_mm=3.758; raw_score_verdict=GOOD
20260327_081015,/home/charess/tireguard/data/captures/tire_20260327_081015.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,195.45480932839556,0.1766589930937844,376.72298148105085,0.36612951656490844,1219.3333333333333,0.21981267350088657,GOOD,GOOD,WARNING,3.8978124744258866,GOOD,25.0,32.0,GOOD,,Too much glare (glare_ratio=0.177) | quality_verdict=WARNING | depth_mm=3.898; raw_score_verdict=GOOD
20260327_081013,/home/charess/tireguard/data/captures/tire_20260327_081013.jpg,Car,redemo,,SPARE,,Symmetrical,rwdemo,,204.38034230807727,0.13892503252927635,155.06845535418873,0.23601241117005306,294.75,0.17201638872468739,GOOD,GOOD,WARNING,3.7801278682318107,GOOD,25.0,32.0,GOOD,,Too much glare (glare_ratio=0.139) | quality_verdict=WARNING | depth_mm=3.780; raw_score_verdict=GOOD
20260327_081008,/home/charess/tireguard/data/captures/tire_20260327_081008.jpg,Car,redemo,,SPARE,,Symmetrical,rwdemo,,197.79991992793515,0.15153638274447,259.1217659901518,0.26623961565408866,332.5,0.18289109576565968,GOOD,GOOD,WARNING,3.8069037070147878,GOOD,25.0,32.0,GOOD,,Too much glare (glare_ratio=0.152) | quality_verdict=WARNING | depth_mm=3.807; raw_score_verdict=GOOD
